beat,duration,pitch,tie,midi,ref_ts,live_ts
100.0,3.0,B3,no,59,60.0,59.465
103.0,0.5,D4,no,62,61.800000000000004,61.265
103.5,0.5,C#4,no,61,62.1,61.565000000000005
104.0,3.0,C#4,no,61,62.4,61.865
107.0,0.5,E4,no,64,64.2,63.665
107.5,0.5,D4,no,62,64.5,63.965
108.0,4.0,D4,no,62,64.8,64.265
112.0,2.0,E3,no,52,67.2,66.665
114.0,0.5,E3,no,52,68.4,67.865
114.5,0.5,G#3,no,56,68.7,68.165
115.0,0.5,B3,no,59,69.0,68.465
115.5,0.5,D4,no,62,69.3,68.765
116.0,0.5,D4,no,62,69.60000000000001,69.065
116.5,0.5,B3,no,59,69.9,69.365
117.0,2.0,C#4,no,61,70.2,69.665
119.0,0.5,C#4,no,61,71.4,70.865
119.5,0.25,D4,no,62,71.7,71.165
119.75,0.25,E4,no,64,71.85000000000001,71.315
120.0,2.0,A3,no,57,72.0,71.465
122.0,0.5,A3,no,57,73.2,72.665
122.5,0.5,C#4,no,61,73.5,72.965
123.0,0.5,E4,no,64,73.8,73.265
123.5,0.5,G4,no,67,74.10000000000001,73.565
124.0,3.0,F#4,no,66,74.4,73.865
127.0,1.0,A3,no,57,76.2,75.665
128.0,0.5,G#3,no,56,76.8,76.265
128.5,0.5,B3,no,59,77.10000000000001,76.565
129.0,2.0,D4,no,62,77.4,76.865
131.0,1.0,F#3,no,54,78.60000000000001,78.065
132.0,1.0,E3,no,52,79.2,78.665
133.0,0.5,B3,no,59,79.8,79.265
133.5,0.25,C#4,no,61,80.10000000000001,79.565
133.75,0.25,D4,no,62,80.25,79.715
134.0,0.5,D4,no,62,80.4,79.865
134.5,1.0,C#4,no,61,80.7,80.165
135.5,0.5,B3,no,59,81.3,80.765
136.0,0.25,A3,no,57,81.60000000000001,81.065
136.25,0.25,G#3,no,56,81.75,81.215
136.5,1.0,F#3,no,54,81.9,81.365
137.5,0.5,G#3,no,56,82.5,81.965
138.0,1.0,A3,no,57,82.8,82.265
139.0,0.5,G#3,no,56,83.4,82.865
139.5,0.5,A3,no,57,83.7,83.165
140.0,4.0,A3,no,57,84.0,83.465
